id,name,rank,media,episodes,season,members,score
35839,Sora yori mo Tooi Basho,70,TV,13,Jan2018-Mar2018,290866,8.59
4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,71,Movie,1,Apr2009-Apr2009,156037,8.58
5300,Zoku Natsume Yuujinchou,72,TV,13,Jan2009-Mar2009,186773,8.58
20583,Haikyuu!!,73,TV,25,Apr2014-Sep2014,903567,8.58
4282,Kara no Kyoukai 5: Mujun Rasen,74,Movie,1,Aug2008-Aug2008,176020,8.57
38040,Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,75,Movie,1,Aug2019-Aug2019,287536,8.57
30654,Ansatsu Kyoushitsu 2nd Season,76,TV,25,Jan2016-Jul2016,724727,8.56
3297,Aria the Origination,77,TV,13,Jan2008-Apr2008,91621,8.56
37379,Chihayafuru 3,78,TV,24,Oct2019-Mar2020,71606,8.56
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,79,TV,26,Jan2004-Jan2005,182594,8.55
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,80,TV,39,Apr2016-Dec2016,486195,8.54
35843,Gintama.: Porori-hen,81,TV,13,Oct2017-Dec2017,105734,8.53
6114,Rainbow: Nisha Rokubou no Shichinin,82,TV,26,Apr2010-Sep2010,274880,8.53
170,Slam Dunk,83,TV,101,Oct1993-Mar1996,174668,8.53
12431,Uchuu Kyoudai,84,TV,99,Apr2012-Mar2014,136480,8.53
34612,Saiki Kusuo no Ψ-nan 2,85,TV,24,Jan2018-Jun2018,255097,8.52
30484,Steins;Gate 0,86,TV,23,Apr2018-Sep2018,502927,8.52
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,87,TV,null,Jul2020-,225502,8.52
7472,Gintama Movie 1: Shinyaku Benizakura-hen,88,Movie,1,Apr2010-Apr2010,102966,8.52
40682,Kingdom 3rd Season,89,TV,null,Apr2020-,26685,8.52
37208,Mo Dao Zu Shi,90,ONA,15,Jul2018-Oct2018,103703,8.52
578,Hotaru no Haka,91,Movie,1,Apr1988-Apr1988,373625,8.51
32,Neon Genesis Evangelion: The End of Evangelion,92,Movie,1,Jul1997-Jul1997,472063,8.51
35760,Shingeki no Kyojin Season 3,93,TV,12,Jul2018-Oct2018,845434,8.51
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,94,Movie,1,Apr2013-Apr2013,405684,8.51
205,Samurai Champloo,95,TV,26,May2004-Mar2005,783804,8.5
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,96,TV,24,Jan2015-Jun2015,494250,8.5
32182,Mob Psycho 100,97,TV,12,Jul2016-Sep2016,1016067,8.5
10165,Nichijou,98,TV,26,Apr2011-Sep2011,571780,8.49
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,99,TV,13,Jul2020-,350306,8.49
38826,Tenki no Ko,100,Movie,1,Jul2019-Jul2019,311712,8.49
21,One Piece,101,TV,null,Oct1999-,1113418,8.48
33255,Saiki Kusuo no Ψ-nan,102,TV,120,Jul2016-Dec2016,427423,8.48
37965,Kaze ga Tsuyoku Fuiteiru,103,TV,23,Oct2018-Mar2019,158437,8.48
33,Kenpuu Denki Berserk,104,TV,25,Oct1997-Apr1998,393838,8.48
24687,Mushishi Zoku Shou: Odoro no Michi,105,Special,1,Aug2014-Aug2014,70344,8.48
5028,Major S5,106,TV,25,Jan2009-Jun2009,52439,8.47
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,107,TV,11,Apr2011-Jun2011,991246,8.46
38883,Haikyuu!!: To the Top,108,TV,13,Jan2020-Apr2020,290575,8.46
